ENGLISH,FRENCH,GERMAN,ITALIAN,SPANISH
SELECT,FOO,BAR,NOO,ESCOGER
BACK,FOO,BAR,NOO,REGRESAR
NEXT,FOO,BAR,NOO,PRÓXIMO
MENU,FOO,BAR,NOO,MENÚ
OPTIONS,FOO,BAR,NOO,OPCIONES
DELETE,FOO,BAR,NOO,BORRAR
DISCARD,FOO,BAR,NOO,DESECHAR
DETAIL,FOO,BAR,NOO,DETALLE
GPS,FOO,BAR,NOO,GPS
GPS:,FOO,BAR,NOO,GPS:
SLOPE,FOO,BAR,NOO,INCLINACIÓN
FAVORITE,FOO,BAR,NOO,FAVORITO
CANCEL,FOO,BAR,NOO,CANCELAR
START,FOO,BAR,NOO,INICIAR
RETRY,FOO,BAR,NOO,REINTENTAR
ON,FOO,BAR,NOO,PRENDER
OFF,FOO,BAR,NOO,APAGAR
OK,FOO,BAR,NOO,OK
N/A,FOO,BAR,NOO,N/A
SAVE,FOO,BAR,NOO,GUARDAR
NEW TEST,FOO,BAR,NOO,NUEVA PRUEBA
SNOW PROFILES,FOO,BAR,NOO,PREFILES DE NIEVE
FAVORITES,FOO,BAR,NOO,FAVORITOS
SETTINGS,FOO,BAR,NOO,AJUSTES
MASS STORAGE,FOO,BAR,NOO,ALMACENAMIENTO MASIVO
BLUETOOTH TRANSFER,FOO,BAR,NOO,TRANSFERENCIA BLUETOOTH
NEW SNOW PROFILE,FOO,BAR,NOO,NUEVA PERFÍL DE NIEVE
SLOPE MEASUREMENT,FOO,BAR,NOO,MEDICIÓN DE INCLINACIÓN
SETTINGS SEL,FOO,BAR,NOO,AJUSTES SEL
CONFIG SETTINGS,FOO,BAR,NOO,CONFIGURAR LOS AJUSTES
SETTINGS MENU,FOO,BAR,NOO,MENÚ DE AJUSTES
DELETE TEST?,FOO,BAR,NOO,¿BORRAR PRUEBA?
DELETE ALL,FOO,BAR,NOO,BORRAR TODOS
DELETE ALL TESTS,FOO,BAR,NOO,BORRAR TODAS PRUEBAS
IN THIS FOLDER?,FOO,BAR,NOO,¿EN ESTA CARPETA?
DELETE FILE?,FOO,BAR,NOO,¿BORRAR CARPETA?
DELETE ALL IN FOLDER?,FOO,BAR,NOO,¿BORRAR TODO EN CARPETA?
DELETING FOLDER...,FOO,BAR,NOO,BORRANDO CARPETA
ALIGN PROBE,FOO,BAR,NOO,ALINEAR EXPLORADOR
PRESS,FOO,BAR,NOO,PRESIONAR
TO BEGIN,FOO,BAR,NOO,EMPEZAR
  CALIBRATING,FOO,BAR,NOO,CALIBRACIÓN
COLLECTING DATA,FOO,BAR,NOO,COLECTANDO DATOS
COMPASS CALIBRATION,FOO,BAR,NOO,CALIBRACIÓN DE LA BRÚJULA
GPS LOCK ACQUIRED!,FOO,BAR,NOO,GPS ADQUIRIDO
GPS INFORMATION,FOO,BAR,NOO,INFORMACIÓN GPS
ACQUIRED!,FOO,BAR,NOO,ADQUIRIDO
PLEASE ENTER THE,FOO,BAR,NOO,FAVOR DE ENTRAR
ENTER,FOO,BAR,NOO,ENTRAR
MANUAL ENTRY,FOO,BAR,NOO,ENTRADA MANUAL
